State,Year,Percentage_Poverty,Percentage_Uninsured,Poverty/Uninsured Ratio
 GA,2015,21.91257861635221,16.76620335106919,1.3069493526663467
 GA,2016,20.733333333333338,16.025698114069165,1.2937553912319912
 HI,2008,10.175,9.07182283625,1.1216047958235942
 HI,2009,11.2,9.3438579335,1.1986483612775487
 HI,2010,12.95,10.119902481750001,1.279656599789744
 HI,2011,14.100000000000001,9.403339915,1.4994672241410727
 HI,2012,13.2,8.650864015,1.5258591485326913
 HI,2013,12.900000000000002,8.819972081500001,1.4625896636405356
 HI,2014,13.325000000000001,6.695634031,1.990102795091072
 HI,2015,12.350000000000001,5.2374861635,2.358001456131198
 HI,2016,10.375,4.753969595,2.182386696564474
 IA,2008,11.394949494949492,10.864934304979796,1.0487821808298252
 IA,2009,11.52323232323233,10.632207121545452,1.0838043495109566
 IA,2010,12.152525252525251,11.599320399181822,1.047692867711668
